ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),TIME_SINCE_TROUBLE_CODES_CLEARED (),WARM_UPS_SINCE_CODES_CLEARED (),DTC
4,1722.5,0,19.607843,23.921568,25,2.34375,0,23,36.07843,51.764706,16.078432,31.764706,19.607843,100,0.392157,25,21,30.099998,24.599998,14.414,7835,255,0
4,1630.25,0,19.607843,23.529411,25,2.34375,0,23,36.07843,51.764706,16.078432,31.764706,19.607843,100,0.392157,25,21,30.099998,24.599998,14.414,7835,255,4
6,1630.25,0,19.607843,23.529411,25,2.34375,0,23,36.07843,51.764706,16.078432,31.764706,19.607843,100,0.392157,25,20,30.099998,24.599998,14.414,7835,255,0
6,1630.25,0,19.607843,23.529411,25,2.34375,0,23,36.07843,51.764706,16.078432,31.764706,19.607843,100,0.392157,25,20,36.5,24.599998,14.414,7835,255,1
6,1630.25,0,19.607843,23.529411,25,2.34375,0,23,36.07843,51.764706,16.078432,31.764706,19.215687,100,0.392157,25,20,36.5,24.599998,14.414,7835,255,0
6,1542.75,0,19.215687,23.921568,26,2.34375,0,24,36.07843,51.764706,16.078432,31.764706,19.215687,100,0.392157,25,15,36.5,24.599998,14.414,7835,255,1
8,1542.75,0,19.215687,23.921568,26,2.34375,0,24,36.07843,51.764706,16.078432,31.764706,19.215687,100,0.392157,25,15,36.5,24.599998,14.414,7835,255,0
8,1542.75,0,19.215687,23.921568,26,2.34375,0,24,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,15,44.099998,24.599998,13.593,7835,255,3
8,1542.75,0,19.215687,23.921568,26,2.34375,0,24,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,15,44.099998,24.599998,13.593,7835,255,1
10,1519.5,0,20.784313,34.509804,26,0.78125,0,35,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,9,44.099998,24.599998,13.593,7835,255,3
10,1519.5,0,20.784313,34.509804,26,0.78125,0,35,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,9,44.099998,24.599998,13.593,7835,255,3
10,1519.5,0,20.784313,34.509804,26,0.78125,0,35,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,9,48.800003,24.699997,14.316,7835,255,3
10,1519.5,0,20.784313,35.686275,27,0.78125,0,36,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,9,48.800003,24.699997,14.316,7835,255,0
12,1513.25,0,21.17647,35.686275,27,0.78125,0,36,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,5,48.800003,24.699997,14.316,7835,255,1
12,1513.25,0,21.17647,35.686275,27,0.78125,0,36,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,5,60.099998,24.800003,14.316,7835,255,0
12,1513.25,0,21.17647,35.686275,27,0.78125,0,36,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,5,60.099998,24.800003,14.316,7835,255,1
12,1471,0,20.784313,34.509804,28,0.78125,0,34,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,9,60.099998,24.800003,14.316,7835,255,0
13,1471,0,20.784313,34.509804,28,0.78125,0,34,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,9,60.099998,24.800003,14.316,7835,255,4
13,1471,0,20.784313,34.509804,28,0.78125,0,34,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,9,73.099998,25,14.316,7835,255,1
13,1471,0,20.784313,34.509804,28,0.78125,0,34,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,9,73.099998,25,14.316,7835,255,0
13,1350,0,21.17647,38.823528,28,0,0,39,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,5,73.099998,25,14.316,7835,255,0
15,1350,0,21.17647,38.823528,28,0,0,39,36.07843,53.725491,16.078432,31.764706,20.784313,100,1.960784,25,5,73.099998,25,14.316,7835,255,4
15,1350,0,21.17647,38.823528,28,0,0,39,36.07843,54.117645,16.078432,31.764706,21.17647,100,1.960784,25,5,87.300003,25.300003,14.296,7835,255,0
15,1350,0,21.17647,41.176472,29,-0.78125,0,39,36.07843,54.117645,16.078432,31.764706,21.17647,100,1.960784,25,5,87.300003,25.300003,14.296,7835,255,1
17,1345.25,0,21.17647,41.176472,29,-0.78125,0,41,36.07843,54.117645,16.078432,31.764706,21.17647,100,1.960784,25,2,87.300003,25.300003,14.296,7835,255,1
17,1345.25,0,21.17647,41.176472,29,-0.78125,0,41,37.254902,54.117645,16.078432,31.764706,21.17647,100,1.960784,25,2,94.899994,25.5,14.277,7835,255,0
17,1345.25,0,21.17647,41.176472,29,-0.78125,0,41,37.254902,54.117645,16.078432,31.764706,21.17647,100,2.352941,25,2,94.899994,25.5,14.277,7835,255,4
17,1379.5,0,21.17647,41.176472,30,-0.78125,0,40,37.254902,54.117645,16.078432,31.764706,21.17647,100,2.352941,25,-1,94.899994,25.5,14.277,7835,255,4
19,1379.5,0,21.17647,41.176472,30,-0.78125,0,40,37.254902,54.117645,16.078432,31.764706,21.17647,100,2.352941,25,-1,94.899994,25.5,14.277,7835,255,1
19,1379.5,0,21.17647,41.176472,30,-0.78125,0,40,37.254902,53.725491,16.078432,31.764706,21.17647,100,1.960784,25,-1,110.600006,26,14.277,7835,255,4
19,1379.5,0,21.17647,41.176472,30,-0.78125,0,40,37.254902,53.725491,16.078432,31.764706,21.17647,100,1.960784,25,-1,110.600006,26,14.277,7835,255,1
19,1375,0,20.784313,38.823528,30,0,0,37,37.254902,53.725491,16.078432,31.764706,21.17647,100,1.960784,26,0,110.600006,26,14.277,7835,255,4
21,1375,0,20.784313,38.823528,30,0,0,37,36.862743,53.725491,16.078432,31.764706,21.17647,100,1.960784,26,0,110.600006,26,14.277,7835,255,1
21,1375,0,20.784313,38.823528,30,0,0,37,36.862743,53.333332,16.078432,31.764706,20.784313,100,1.568627,26,0,126.600006,26.699997,14.277,7835,255,1
21,1375,0,20.784313,38.039215,31,0,0,37,36.862743,53.333332,16.078432,31.764706,20.784313,100,1.568627,26,0,126.600006,26.699997,14.277,7835,255,0
22,1273.25,0,20.392157,38.039215,31,0,0,38,36.862743,53.333332,16.078432,31.764706,20.784313,100,1.568627,26,9,126.600006,26.699997,14.277,7835,255,0
22,1273.25,0,20.392157,38.039215,31,0,0,38,36.862743,53.333332,16.078432,31.764706,20.784313,100,1.568627,26,9,141.699997,27.400002,14.257,7835,255,1
22,1273.25,0,20.392157,38.039215,31,0,0,38,36.862743,52.941177,16.078432,31.764706,20.392157,100,1.176471,26,9,141.699997,27.400002,14.257,7835,255,0
22,1189,0,20,37.254902,31,0,0,37,36.862743,52.941177,16.078432,31.764706,20.392157,100,1.176471,26,8,141.699997,27.400002,14.257,7835,255,2
24,1189,0,20,37.254902,31,0,0,37,37.254902,52.941177,16.078432,31.764706,20.392157,100,1.176471,26,8,141.699997,27.400002,14.257,7835,255,0
24,1189,0,20,37.254902,31,0,0,37,37.254902,52.549019,16.078432,31.764706,20.392157,100,0.784314,26,8,148.899994,27.800003,14.257,7835,255,1
24,1189,0,20,37.254902,31,0,0,37,37.254902,52.549019,16.078432,31.764706,20,100,0.784314,26,8,148.899994,27.800003,14.257,7835,255,0
24,1133.5,0,20,35.686275,33,0.78125,0,36,37.254902,52.549019,16.078432,31.764706,20,100,0.784314,26,7,148.899994,27.800003,14.257,7835,255,2
26,1133.5,0,20,35.686275,33,0.78125,0,36,37.254902,52.549019,16.078432,31.764706,20,100,0.784314,26,7,148.899994,27.800003,14.257,7835,255,1
26,1133.5,0,20,35.686275,33,0.78125,0,36,37.254902,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,7,162.5,28.699997,14.238,7835,255,0
26,1133.5,0,20,37.254902,33,0,0,36,37.254902,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,7,162.5,28.699997,14.238,7835,255,0
28,1064,0,19.607843,37.254902,33,0,0,38,37.254902,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,3,162.5,28.699997,14.238,7835,255,1
28,1064,0,19.607843,37.254902,33,0,0,38,37.254902,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,3,174.699997,29.599998,14.238,7835,255,0
28,1064,0,19.607843,37.254902,33,0,0,38,37.254902,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,3,174.699997,29.599998,14.199,7835,255,1
28,990.5,0,20,40.392159,34,0,0,41,37.254902,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,0,174.699997,29.599998,14.199,7835,255,0
30,990.5,0,20,40.392159,34,0,0,41,37.254902,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,0,174.699997,29.599998,14.199,7835,255,1
30,990.5,0,20,40.392159,34,0,0,41,37.254902,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,0,186.100006,30.5,14.179,7835,255,0
30,990.5,0,20,40.392159,34,0,0,41,37.254902,52.156864,16.078432,31.764706,20,100,0.784314,26,0,186.100006,30.5,14.179,7835,255,1
30,982.75,0,20,42.35294,35,-0.78125,0,42,37.254902,52.156864,16.078432,31.764706,20,100,0.784314,26,-2,186.100006,30.5,14.179,7835,255,1
31,982.75,0,20,42.35294,35,-0.78125,0,42,36.862743,52.156864,16.078432,31.764706,20,100,0.784314,26,-2,186.100006,30.5,14.179,7835,255,0
31,982.75,0,20,42.35294,35,-0.78125,0,42,36.862743,52.549019,16.078432,31.764706,20,100,1.176471,26,-2,191.600006,31,14.199,7835,255,0
31,982.75,0,20,45.490196,35,-1.5625,0,42,36.862743,52.549019,16.078432,31.764706,20,100,1.176471,26,-2,191.600006,31,14.199,7835,255,1
33,969.5,0,20.392157,45.490196,35,-1.5625,0,46,36.862743,52.549019,16.078432,31.764706,20,100,1.176471,26,-2,191.600006,31,14.199,7835,255,0
33,969.5,0,20.392157,45.490196,35,-1.5625,0,46,36.07843,52.549019,16.078432,31.764706,20,100,1.176471,26,-2,202.300003,32.099998,14.199,7835,255,1
33,969.5,0,20.392157,45.490196,35,-1.5625,0,46,36.07843,52.941177,16.078432,31.764706,20.392157,100,1.176471,26,-2,202.300003,32.099998,14.16,7835,255,0
33,971.75,0,20.392157,46.274509,35,-1.5625,-3.90625,47,36.07843,52.941177,16.078432,31.764706,20.392157,100,1.176471,26,-2,202.300003,32.099998,14.16,7835,255,1
35,971.75,0,20.392157,46.274509,35,-1.5625,-3.90625,47,36.07843,52.941177,16.078432,31.764706,20.392157,100,1.176471,26,-2,202.300003,32.099998,14.16,7835,255,0
35,971.75,0,20.392157,46.274509,35,-1.5625,-3.90625,47,36.07843,52.941177,16.078432,31.764706,20.392157,100,1.176471,26,-2,213,33.300003,14.199,7835,255,1
35,971.75,0,20.392157,46.274509,35,-1.5625,-3.90625,47,36.07843,52.941177,16.078432,31.764706,20.392157,100,1.176471,26,-2,213,33.300003,14.199,7835,255,1
35,1046.75,0,20,43.92157,36,-0.78125,-7.03125,43,36.07843,52.941177,16.078432,31.764706,20.392157,100,1.176471,26,-6,213,33.300003,14.199,7835,255,0
37,1046.75,0,20,43.92157,36,-0.78125,-7.03125,43,36.07843,52.941177,16.078432,31.764706,20.392157,100,1.176471,26,-6,213,33.300003,14.199,7835,255,0
37,1046.75,0,20,43.92157,36,-0.78125,-7.03125,43,36.07843,52.549019,16.078432,31.764706,20,100,0.784314,26,-6,223.5,34.599998,14.218,7835,255,1
37,1046.75,0,20,43.92157,36,-0.78125,-10.9375,43,36.07843,52.549019,16.078432,31.764706,20,100,0.784314,26,-6,223.5,34.599998,14.218,7835,255,0
39,925.75,0,20,43.92157,36,-0.78125,-10.9375,45,36.07843,52.549019,16.078432,31.764706,20,100,0.784314,26,7,223.5,34.599998,14.218,7835,255,1
39,925.75,0,20,43.92157,36,-0.78125,-10.9375,45,35.294117,52.549019,16.078432,31.764706,20,100,0.784314,26,7,228.5,35.300003,14.218,7835,255,0
39,925.75,0,20,43.92157,36,-0.78125,-10.9375,45,35.294117,52.941177,16.078432,31.764706,20.392157,100,1.176471,26,7,228.5,35.300003,14.121,7835,255,1
39,900,0,20,49.411766,37,-1.5625,-8.59375,50,35.294117,52.941177,16.078432,31.764706,20.392157,100,1.176471,26,4,228.5,35.300003,14.121,7835,255,0
41,900,0,20.392157,49.411766,37,-1.5625,-8.59375,50,35.294117,52.941177,16.078432,31.764706,20.392157,100,1.176471,26,4,228.5,35.300003,14.121,7835,255,1
41,900,0,20.392157,49.411766,37,-1.5625,-8.59375,50,35.686275,52.549019,16.078432,31.764706,20.392157,100,1.176471,26,4,238.5,36.800003,14.179,7835,255,1
41,900,0,20.392157,49.411766,37,-1.5625,-8.59375,50,35.686275,52.549019,16.078432,31.764706,20,100,1.176471,26,4,238.5,36.800003,14.179,7835,255,0
41,944.5,6,20,44.705883,38,-0.78125,-8.59375,44,35.686275,52.549019,16.078432,31.764706,20,100,1.176471,26,-5,238.5,36.800003,14.179,7835,255,0
42,944.5,6,20,44.705883,38,-0.78125,-8.59375,44,36.862743,52.549019,16.078432,31.764706,20,100,1.176471,26,-5,238.5,36.800003,14.179,7835,255,1
42,944.5,6,20,44.705883,38,-0.78125,-8.59375,44,36.862743,52.156864,16.078432,31.764706,20,100,0.784314,26,-5,248.200012,38.400002,14.179,7835,255,0
42,944.5,6,20,43.529411,38,-0.78125,-8.59375,44,36.862743,52.156864,16.078432,31.764706,20,100,0.784314,26,-5,248.200012,38.400002,14.179,7835,255,1
44,951.5,8,20,43.529411,38,-0.78125,-12.5,44,36.862743,52.156864,16.078432,31.764706,20,100,0.784314,26,-3,248.200012,38.400002,14.179,7835,255,1
44,951.5,8,20,43.529411,38,-0.78125,-12.5,44,39.607841,52.156864,16.078432,31.764706,20,100,0.784314,26,-3,257.399994,40.099998,14.179,7835,255,0
44,951.5,8,20,43.529411,38,-0.78125,-12.5,44,39.607841,52.549019,19.607843,35.686275,20.392157,100,0.784314,26,-3,257.399994,40.099998,14.179,7835,255,0
44,1260,7,20,39.607841,39,0,-6.25,40,39.607841,52.549019,19.607843,35.686275,20.392157,100,0.784314,26,-3,257.399994,40.099998,14.179,7835,255,0
46,1260,7,20.392157,39.607841,39,0,-6.25,40,39.607841,52.549019,19.607843,35.686275,20.392157,100,0.784314,26,24,257.399994,40.099998,14.179,7835,255,1
46,1260,7,20.392157,39.607841,39,0,-6.25,40,38.039215,52.549019,19.607843,35.686275,20.392157,100,0.392157,26,24,262.100006,41.900002,14.218,7835,255,0
46,1260,7,20.392157,39.607841,39,0,-6.25,40,38.039215,52.156864,16.078432,31.764706,19.607843,100,0.392157,26,24,262.100006,41.900002,14.218,7835,255,1
46,957.75,10,20.784313,33.333332,40,0.78125,-13.28125,37,38.039215,52.156864,16.078432,31.764706,19.607843,100,0.392157,26,14,262.100006,41.900002,14.218,7835,255,0
48,957.75,10,20.784313,33.333332,40,0.78125,-13.28125,37,32.156864,52.156864,16.078432,31.764706,19.607843,100,0.392157,26,14,262.100006,41.900002,14.218,7835,255,1
48,957.75,10,20.784313,33.333332,40,0.78125,-13.28125,37,32.156864,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,14,270.799988,42.800003,14.14,7835,255,1
48,957.75,10,20.784313,33.333332,40,0.78125,-13.28125,37,32.156864,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,14,270.799988,42.800003,14.14,7835,255,0
50,878,11,19.607843,46.274509,40,-1.5625,-11.71875,45,32.156864,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,5,270.799988,42.800003,14.14,7835,255,0
50,878,11,19.607843,46.274509,40,-1.5625,-11.71875,45,34.509804,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,5,278.799988,42.800003,14.14,7835,255,1
50,878,11,19.607843,46.274509,40,-1.5625,-11.71875,45,34.509804,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,5,278.799988,44.599998,14.179,7835,255,0
50,929.5,11,19.607843,42.745098,40,-0.78125,-8.59375,41,34.509804,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,5,278.799988,44.599998,14.179,7835,255,1
51,929.5,12,19.607843,42.745098,40,-0.78125,-8.59375,41,34.509804,52.156864,16.078432,31.764706,19.607843,100,0.784314,26,-1,278.799988,44.599998,14.179,7835,255,0
51,929.5,12,19.607843,42.745098,40,-0.78125,-8.59375,41,30.980392,52.156864,16.078432,31.764706,19.607843,100,0.392157,26,-1,286.299988,46.5,14.179,7835,255,1
51,929.5,12,19.607843,42.745098,40,-0.78125,-8.59375,41,30.980392,52.156864,16.078432,31.764706,19.607843,100,0.392157,26,-1,286.299988,46.5,14.179,7835,255,0
51,932,13,19.607843,41.960785,40,-0.78125,-11.71875,42,30.980392,52.156864,16.078432,31.764706,19.607843,100,0.392157,26,2,286.299988,46.5,14.179,7835,255,1
53,932,13,19.607843,41.960785,40,-0.78125,-11.71875,42,27.058823,52.156864,16.078432,31.764706,19.607843,100,0.392157,26,2,286.299988,46.5,14.179,7835,255,1
53,932,13,19.607843,41.960785,40,-0.78125,-11.71875,42,27.058823,52.156864,16.078432,31.764706,19.607843,100,0.392157,26,2,293.399994,48.300003,14.179,7835,255,0
53,932,13,19.607843,41.960785,40,-0.78125,-11.71875,42,27.058823,52.156864,16.078432,31.764706,19.607843,100,0.392157,26,2,293.399994,48.300003,14.179,7835,255,0
55,953.75,13,19.607843,41.176472,41,-0.78125,-8.59375,42,27.058823,52.156864,16.078432,31.764706,19.607843,100,0.392157,26,0,293.399994,48.300003,14.179,7835,255,1
55,953.75,13,19.607843,41.176472,41,-0.78125,-8.59375,42,29.411764,52.156864,16.078432,31.764706,19.607843,100,0.392157,26,0,293.399994,48.300003,14.179,7835,255,0
55,953.75,13,19.607843,41.176472,41,-0.78125,-8.59375,42,29.411764,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,0,296.700012,49.300003,14.16,7835,255,1
55,953.75,13,19.607843,43.92157,41,-0.78125,-11.71875,42,29.411764,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,0,296.700012,49.300003,14.16,7835,255,0
57,857,12,19.607843,43.92157,41,-0.78125,-11.71875,44,29.411764,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,9,296.700012,49.300003,14.16,7835,255,1
57,857,12,19.607843,43.92157,41,-0.78125,-11.71875,44,36.07843,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,9,303.200012,51.300003,14.14,7835,255,0
57,857,12,19.607843,43.92157,41,-0.78125,-11.71875,44,36.07843,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,9,303.200012,51.300003,14.14,7835,255,1
57,700,11,19.607843,52.941177,42,-2.34375,-7.8125,52,36.07843,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,9,303.200012,51.300003,14.14,7835,255,1
59,700,11,19.607843,52.941177,42,-2.34375,-7.8125,52,36.07843,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,9,303.200012,51.300003,14.14,7835,255,0
59,700,11,19.607843,52.941177,42,-2.34375,-7.8125,52,36.07843,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,9,309.299988,53.300003,14.121,7835,255,0
59,700,11,19.607843,52.941177,42,-2.34375,-7.8125,52,36.07843,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,9,309.299988,53.300003,14.121,7836,255,1
59,878.75,12,19.607843,42.745098,42,-0.78125,-8.59375,42,36.07843,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,-6,309.299988,53.300003,14.121,7836,255,0
61,878.75,12,19.607843,42.745098,42,-0.78125,-8.59375,42,37.254902,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,-6,309.299988,53.300003,14.121,7836,255,1
61,878.75,12,19.607843,42.745098,42,-0.78125,-8.59375,42,37.254902,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,-6,315.200012,55.300003,14.121,7836,255,0
61,878.75,12,19.607843,41.960785,43,-0.78125,-12.5,42,37.254902,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,-6,315.200012,55.300003,14.121,7836,255,1
62,829.5,13,19.607843,41.960785,43,-0.78125,-12.5,42,37.254902,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,10,315.200012,55.300003,14.121,7836,255,0
62,829.5,13,19.607843,41.960785,43,-0.78125,-12.5,42,49.019608,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,10,318,56.300003,13.925,7836,255,1
62,829.5,13,19.607843,41.960785,43,-0.78125,-12.5,42,49.019608,51.764706,16.078432,31.764706,19.607843,100,0.392157,26,10,318,56.300003,13.925,7836,255,1
62,670.25,10,19.607843,55.686275,43,-3.125,-8.59375,58,49.019608,51.764706,16.078432,31.764706,19.607843,100,0.392157,27,10,318,56.300003,13.925,7836,255,0
64,670.25,10,19.607843,55.686275,43,-3.125,-8.59375,58,42.35294,51.764706,16.078432,31.764706,19.607843,100,0.392157,27,10,318,56.300003,13.925,7836,255,0
64,670.25,10,19.607843,55.686275,43,-3.125,-8.59375,58,42.35294,51.764706,16.470589,32.549019,19.607843,100,0.392157,27,10,323.5,58.400002,14.14,7836,255,1
64,670.25,10,19.607843,55.686275,43,-3.125,-8.59375,58,42.35294,51.764706,16.470589,32.549019,19.607843,100,0.392157,27,10,323.5,58.400002,14.14,7836,255,0
64,807,10,19.607843,47.450981,43,-1.5625,-5.46875,46,42.35294,51.764706,16.470589,32.549019,19.607843,100,0.392157,27,-6,323.5,58.400002,14.14,7836,255,1
66,807,10,19.607843,47.450981,43,-1.5625,-5.46875,46,34.117645,51.764706,16.470589,32.549019,19.607843,100,0.392157,27,-6,323.5,58.400002,14.14,7836,255,0
66,807,10,19.607843,47.450981,43,-1.5625,-5.46875,46,34.117645,52.156864,18.82353,34.509804,19.607843,100,0.392157,27,-6,328.799988,60.5,14.14,7836,255,1
66,807,10,19.607843,46.274509,44,-1.5625,-10.15625,46,34.117645,52.156864,18.82353,34.509804,19.607843,100,0.392157,27,-6,328.799988,60.5,14.14,7836,255,0
68,863.25,12,19.607843,46.274509,44,-1.5625,-10.15625,47,34.117645,52.156864,18.82353,34.509804,19.607843,100,0.392157,27,-4,328.799988,60.5,14.14,7836,255,1
68,863.25,12,19.607843,46.274509,44,-1.5625,-10.15625,47,35.686275,52.156864,18.82353,34.509804,19.607843,100,0.392157,27,-4,334.100006,62.699997,14.14,7836,255,1
68,863.25,12,19.607843,46.274509,44,-1.5625,-10.15625,47,35.686275,52.156864,19.215687,34.901962,19.607843,100,0.392157,27,-4,334.100006,62.699997,14.121,7836,255,0
68,900,13,18.039215,37.254902,45,0.78125,-7.8125,34,35.686275,52.156864,19.215687,34.901962,19.607843,100,0.392157,27,-1,334.100006,62.699997,14.121,7836,255,0
70,900,13,18.039215,37.254902,45,0.78125,-7.8125,34,35.686275,52.156864,19.215687,34.901962,19.607843,100,0.392157,27,-1,334.100006,62.699997,14.121,7836,255,1
70,900,13,18.039215,37.254902,45,0.78125,-7.8125,34,34.509804,49.803921,16.078432,31.764706,19.607843,100,0,27,-1,336.399994,63.699997,14.179,7836,255,0
70,900,13,18.039215,37.254902,45,0.78125,-7.8125,34,34.509804,49.803921,16.078432,31.764706,18.039215,100,0,27,-1,336.399994,63.699997,14.179,7836,255,1
70,796.75,12,18.039215,32.549019,45,0.78125,-11.71875,34,34.509804,49.803921,16.078432,31.764706,18.039215,100,0,27,10,336.399994,63.699997,14.179,7836,255,1
71,796.75,12,18.039215,32.549019,45,0.78125,-11.71875,34,34.509804,49.803921,16.078432,31.764706,18.039215,100,0,27,10,336.399994,63.699997,14.179,7836,255,0
71,796.75,12,18.039215,32.549019,45,0.78125,-11.71875,34,34.509804,49.803921,16.078432,31.764706,18.039215,100,0,27,10,340.399994,65.699997,14.042,7836,255,0
